iso	language	family	Lmin	L	Lr	eta	omega	tokens	types	tau	p_raw	p_holm
el	Greek	IE-Hellenic	3.566301120468204	6.113814977385701	8.85576259489303	0.5833184572414347	0.5183793531279074	209823	14490	-0.10057331282916154	3.0680549633164784e-59	1.2272219853265914e-58
en	English	IE-Germanic	3.1015984245427317	5.474254663089636	7.8484527591481354	0.566579126370458	0.5001624083448648	204639	8499	-0.07188981878267915	1.1909370745138758e-19	2.3818741490277515e-19
es	Spanish	IE-Romance	3.3622941306137504	5.662380954523166	8.434726211433336	0.5937951115648474	0.5465514791993478	222289	10793	-0.06216987940168541	1.9091532265645987e-18	1.9091532265645987e-18
fi	Finnish	Uralic	5.233138370745073	8.414358731162398	11.13682192831129	0.6219295537477213	0.461146531754697	189780	26085	-0.1732818611770637	4.8900419566992946e-300	3.9120335653594356e-299
hu	Hungarian	Uralic	4.224901985637672	7.084277053930846	9.42489635016652	0.5963772948847906	0.4501195832445386	228793	29426	-0.1278115201422698	3.6919490632043643e-184	2.584364344243055e-183
it	Italian	IE-Romance	3.50935810731753	6.137958954438022	8.469935162980727	0.571746753826059	0.47010180113630645	213665	11259	-0.08021835173243809	1.21682220438886e-30	3.65046661316658e-30
mt	Maltese	Semitic	3.9798835423969408	6.379848778933341	8.635220125786164	0.6238209838983589	0.48447009286079284	172595	18126	-0.10546794947126079	8.518481143578934e-80	4.2592405717894666e-79
pl	Polish	IE-Slavic	4.4066704912902885	6.919474288098467	8.58444066749073	0.636850475601851	0.3985299116923901	76696	12944	-0.131946684825896	1.2822284562237664e-85	7.693370737342599e-85
